ts_event,long_symbols,short_symbols,strike,expiry,pred_spread,realized_spread,edge_1m,edge_15m,edge_60m,correct,n_universe
2025-06-13 16:26:00+00:00,QBTS,QUBT,,1970-01-01,0.24052320420742035,0.03079290079808622,,,,1,24
2025-06-13 16:27:00+00:00,QBTS,QUBT,,1970-01-01,0.22882595658302307,-0.028329978409285632,,,,0,19
2025-06-13 16:28:00+00:00,QBTS,QUBT,,1970-01-01,0.15615257620811462,0.031924302133629,,,,1,26
2025-06-13 16:29:00+00:00,QBTS,QUBT,,1970-01-01,0.12702716886997223,-0.0003072414220097082,,,,0,21
2025-06-13 16:30:00+00:00,QBTS,QUBT,,1970-01-01,0.11808837950229645,0.10560565901337278,,,,1,17
2025-06-13 16:31:00+00:00,QBTS,QUBT,,1970-01-01,0.2571849226951599,-0.03495905867987979,,,,0,17
2025-06-13 16:32:00+00:00,QBTS,QUBT,,1970-01-01,0.3557252287864685,-0.03700298263566774,,,,0,19
2025-06-13 16:33:00+00:00,QBTS,QUBT,,1970-01-01,0.14396388828754425,-2.2848766306600432e-05,,,,0,19
2025-06-13 16:34:00+00:00,QBTS,QUBT,,1970-01-01,0.10965342819690704,0.028375720778645197,,,,1,13
2025-06-13 16:35:00+00:00,QBTS,QUBT,,1970-01-01,0.0896783173084259,0.021376924134753058,,,,1,20
2025-06-13 16:36:00+00:00,QBTS,QUBT,,1970-01-01,0.1595558077096939,0.08361501814591661,,,,1,18
2025-06-13 16:37:00+00:00,IONQ,QUBT,,1970-01-01,0.09131017327308655,-0.01149920513302894,,,,0,19
2025-06-13 16:38:00+00:00,QBTS,QUBT,,1970-01-01,0.26951128244400024,0.06088034374319094,,,,1,23
2025-06-13 16:39:00+00:00,QBTS,QUBT,,1970-01-01,0.11906496435403824,-0.08611946018327428,,,,0,18
2025-06-13 16:40:00+00:00,RGTI,QUBT,,1970-01-01,0.11734484136104584,0.03781837966551329,,,,1,17
2025-06-13 16:41:00+00:00,QBTS,QUBT,,1970-01-01,0.2156009078025818,-0.042348503145336586,,,,0,22
2025-06-13 16:42:00+00:00,QBTS,QUBT,,1970-01-01,1.0565516948699951,0.2575368788706988,,,,1,11
2025-06-13 16:43:00+00:00,QBTS,QUBT,,1970-01-01,0.6812198162078857,0.06921830766989347,,,,1,19
2025-06-13 16:44:00+00:00,QBTS,QUBT,,1970-01-01,0.162634015083313,-0.016841827889953382,,,,0,26
2025-06-13 16:45:00+00:00,QBTS,QUBT,,1970-01-01,0.2758116126060486,-0.025411441484349512,,,,0,24
2025-06-13 16:46:00+00:00,QBTS,QUBT,,1970-01-01,0.08408308029174805,0.07886982321586633,,,,1,22
2025-06-13 16:47:00+00:00,QBTS,QUBT,,1970-01-01,0.12039792537689209,-0.06716506630413657,,,,0,23
2025-06-13 16:48:00+00:00,QBTS,QUBT,,1970-01-01,0.2839133143424988,0.03650047778476331,,,,1,24
